,scores,names,logfoldchanges,pvals,pvals_adj
0,-18.096683502197266,AC240274.1,-0.05000520870089531,3.384402639782238e-73,4.1714177487655064e-69
1,-18.086320877075195,LAMC3,1.258118748664856,4.084619582634523e-73,4.1714177487655064e-69
2,-13.539216041564941,KRT19,-2.7716941833496094,9.176275852227815e-42,6.247514476058437e-38
3,12.902713775634766,NPW,3.683885097503662,4.3452087779439093e-38,2.2187722322376087e-34
4,-12.627581596374512,PRSS23,-2.0141854286193848,1.4878063655937715e-36,6.0776890034505565e-33
5,-12.6002197265625,HPCAL1,-1.885520577430725,2.105578396223811e-36,7.167739790478556e-33
6,12.553043365478516,FAM132A,2.7871758937835693,3.825212614249788e-36,1.1161423949435988e-32
7,-11.897293090820312,TCEAL4,-1.742488980293274,1.222488208792806e-32,3.121165208074133e-29
8,-11.49855899810791,RPL39,-1.11822509765625,1.3413631388694282e-30,3.044149123489786e-27
9,-11.319289207458496,MORF4L2,-1.4786012172698975,1.0532266732366728e-29,2.1512154800859042e-26
10,11.238712310791016,MDK,1.3049243688583374,2.631945832804068e-29,4.88704487591119e-26
11,-11.200027465820312,TCEAL3,-2.7493135929107666,4.0760770729893016e-29,6.937822851317207e-26
12,-11.126432418823242,RPL36A,-1.1098461151123047,9.329522352450159e-29,1.4658114926830346e-25
13,11.021135330200195,COL5A2,2.455817699432373,3.022244466847427e-28,4.409238802525621e-25
14,-10.974902153015137,MBP,-2.4031009674072266,5.046048362656424e-28,6.871035853817164e-25
15,-10.913195610046387,MOSPD1,-2.819882392883301,9.968929385996817e-28,1.2725961419311562e-24
16,-10.753362655639648,KCNMA1,-1.800873875617981,5.713998873846622e-27,6.865201588136309e-24
17,-10.738265991210938,SLC25A5,-1.3718091249465942,6.729654842450712e-27,7.63628889761421e-24
18,-10.557486534118652,IDS,-2.191615581512451,4.690541287375616e-26,5.0423318839287864e-23
19,-10.462756156921387,S100A6,-1.410273551940918,1.2807469756573942e-25,1.3079628488901138e-22
20,-10.440488815307617,G6PD,-2.0583620071411133,1.619739108339757e-25,1.5067728716332392e-22
21,-10.440299987792969,ITGA3,-1.6514978408813477,1.6229622117959003e-25,1.5067728716332392e-22
22,10.433506965637207,RYR1,3.2159318923950195,1.743325287351886e-25,1.5481486519200987e-22
