"","status","family","pval","qval","index","gene_ids","mito","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","n_cells","gene_short_name","use_for_ordering"
"RP11-34P13.7","OK","negbinomial.size",0.264235011974235,0.514438669678542,"RP11-34P13.7","ENSG00000238009","False",12,0.0035190615,0.003512884,99.6480938416422,12,2.5649493,12,"RP11-34P13.7",FALSE
"FO538757.2","OK","negbinomial.size",0.559507466849361,0.783809328559547,"FO538757.2","ENSG00000279457","False",1119,0.4228739,0.35267872,67.1847507331378,1442,7.2744794,1119,"FO538757.2",FALSE
"AP006222.2","OK","negbinomial.size",0.643637557058638,0.84274845539331,"AP006222.2","ENSG00000228463","False",1161,0.47360703,0.38771316,65.9530791788856,1615,7.387709,1161,"AP006222.2",FALSE
"RP4-669L17.10","OK","negbinomial.size",0.16935711256456,0.387576361247187,"RP4-669L17.10","ENSG00000237094","False",28,0.008211143,0.008177616,99.1788856304985,28,3.3672957,28,"RP4-669L17.10",FALSE
"RP5-857K21.4","OK","negbinomial.size",0.915977883793032,0.989204356589809,"RP5-857K21.4","ENSG00000230021","False",11,0.0032258064,0.0032206147,99.6774193548387,11,2.4849067,11,"RP5-857K21.4",FALSE
"RP11-206L10.9","OK","negbinomial.size",0.861868650593927,0.965536813754989,"RP11-206L10.9","ENSG00000237491","False",323,0.102052785,0.09717461,90.5278592375367,348,5.855072,323,"RP11-206L10.9",FALSE
"LINC00115","OK","negbinomial.size",0.312912021596958,0.570928064993763,"LINC00115","ENSG00000225880","False",162,0.049266864,0.048091695,95.2492668621701,168,5.1298985,162,"LINC00115",FALSE
"FAM41C","OK","negbinomial.size",0.00875603754366671,0.0398667112860884,"FAM41C","ENSG00000230368","False",155,0.047800586,0.046693288,95.4545454545455,163,5.0998664,155,"FAM41C",FALSE
"RP11-54O7.1","OK","negbinomial.size",0.276072548985019,0.5293340881103,"RP11-54O7.1","ENSG00000230699","False",70,0.02111437,0.02089455,97.9472140762463,72,4.2904596,70,"RP11-54O7.1",FALSE
"RP11-54O7.2","OK","negbinomial.size",0.445745819670965,0.695998651997512,"RP11-54O7.2","ENSG00000241180","False",11,0.0032258064,0.0032206147,99.6774193548387,11,2.4849067,11,"RP11-54O7.2",FALSE
"RP11-54O7.3","OK","negbinomial.size",0.0153057641987621,0.0630697971757651,"RP11-54O7.3","ENSG00000223764","False",89,0.027272727,0.026907453,97.3900293255132,93,4.543295,89,"RP11-54O7.3",FALSE
"SAMD11","OK","negbinomial.size",0.909576899833229,0.987984569440256,"SAMD11","ENSG00000187634","False",603,0.27565983,0.24346356,82.316715542522,940,6.846943,603,"SAMD11",FALSE
"NOC2L","OK","negbinomial.size",9.22605850341362e-14,2.11495224390823e-12,"NOC2L","ENSG00000188976","False",2845,2.5607038,1.2699583,16.5689149560117,8732,9.074864,2845,"NOC2L",TRUE
"KLHL17","OK","negbinomial.size",0.204595816837028,0.438680407190457,"KLHL17","ENSG00000187961","False",275,0.08709677,0.08351063,91.9354838709677,297,5.6970935,275,"KLHL17",FALSE
"PLEKHN1","OK","negbinomial.size",0.070691315069,0.208772427744986,"PLEKHN1","ENSG00000187583","False",580,0.19120234,0.17496318,82.9912023460411,652,6.481577,580,"PLEKHN1",FALSE
"PERM1","OK","negbinomial.size",0.373936067332898,0.632447029344038,"PERM1","ENSG00000187642","False",24,0.007038123,0.007013471,99.2961876832845,24,3.218876,24,"PERM1",FALSE
"RP11-54O7.17","OK","negbinomial.size",0.414996556110514,0.671071542914832,"RP11-54O7.17","ENSG00000272512","False",107,0.034017596,0.033451796,96.8621700879765,116,4.762174,107,"RP11-54O7.17",FALSE
"HES4","OK","negbinomial.size",2.46574571582792e-17,7.59620757854982e-16,"HES4","ENSG00000188290","False",3015,5.8334312,1.921827,11.58357771261,19892,9.898123,3015,"HES4",FALSE
"ISG15","OK","negbinomial.size",0.0681771766534588,0.203257748233381,"ISG15","ENSG00000187608","False",3127,9.177712,2.3202002,8.29912023460411,31296,10.351277,3127,"ISG15",TRUE
"AGRN","OK","negbinomial.size",0.327994075281978,0.586488623313909,"AGRN","ENSG00000188157","False",1885,1.0014663,0.69388,44.7214076246334,3415,8.136226,1885,"AGRN",FALSE
"RP11-54O7.18","OK","negbinomial.size",0.429304474751182,0.682580376773196,"RP11-54O7.18","ENSG00000273443","False",3,0.0008797654,0.0008793786,99.9120234604106,3,1.3862944,3,"RP11-54O7.18",FALSE
"RNF223","OK","negbinomial.size",0.359455511488656,0.61988169724382,"RNF223","ENSG00000237330","False",115,0.036363635,0.03571808,96.6275659824047,124,4.828314,115,"RNF223",FALSE
"C1orf159","OK","negbinomial.size",0.00172837090656151,0.00976811725692274,"C1orf159","ENSG00000131591","False",752,0.26158357,0.23236772,77.9472140762463,892,6.7945867,752,"C1orf159",FALSE
"RP11-465B22.8","OK","negbinomial.size",0.97206660688277,0.999999999652452,"RP11-465B22.8","ENSG00000272141","False",97,0.030205278,0.02975808,97.1554252199413,103,4.644391,97,"RP11-465B22.8",FALSE
"TTLL10","OK","negbinomial.size",0.426306172724134,0.680417564889462,"TTLL10","ENSG00000162571","False",20,0.006158358,0.0061394726,99.4134897360704,21,3.0910425,20,"TTLL10",FALSE
"TNFRSF18","OK","negbinomial.size",0.813669860389439,0.938779127744127,"TNFRSF18","ENSG00000186891","False",150,0.05601173,0.05449929,95.6011730205279,191,5.2574954,150,"TNFRSF18",FALSE
"TNFRSF4","OK","negbinomial.size",0.373882734681824,0.632447029344038,"TNFRSF4","ENSG00000186827","False",19,0.006451613,0.0064308904,99.4428152492669,22,3.1354942,19,"TNFRSF4",FALSE
"SDF4","OK","negbinomial.size",0.0829904524518715,0.234483329828396,"SDF4","ENSG00000078808","False",2917,3.1882699,1.4322877,14.4574780058651,10872,9.294038,2917,"SDF4",FALSE
"B3GALT6","OK","negbinomial.size",0.740239290996371,0.899053785966633,"B3GALT6","ENSG00000176022","False",1121,0.443695,0.3672058,67.1260997067449,1513,7.3225102,1121,"B3GALT6",FALSE
"FAM132A","OK","negbinomial.size",0.210498137058314,0.44664704440225,"FAM132A","ENSG00000184163","False",785,0.7043988,0.5332124,76.9794721407625,2402,7.7844734,785,"FAM132A",TRUE
"RP5-902P8.12","OK","negbinomial.size",0.453480092859483,0.7028631732171,"RP5-902P8.12","ENSG00000260179","False",7,0.0020527858,0.0020506817,99.7947214076246,7,2.0794415,7,"RP5-902P8.12",FALSE
"UBE2J2","OK","negbinomial.size",2.54345498725644e-09,3.78644811331726e-08,"UBE2J2","ENSG00000160087","False",2487,2.1571848,1.1496807,27.0674486803519,7356,8.903407,2487,"UBE2J2",FALSE
"RP5-902P8.10","OK","negbinomial.size",0.652809186948664,0.849208167680154,"RP5-902P8.10","ENSG00000230415","False",11,0.0032258064,0.0032206147,99.6774193548387,11,2.4849067,11,"RP5-902P8.10",FALSE
"SCNN1D","OK","negbinomial.size",0.0955742968596218,0.258968561071607,"SCNN1D","ENSG00000162572","False",35,0.01026393,0.010211614,98.9736070381232,35,3.583519,35,"SCNN1D",FALSE
"ACAP3","OK","negbinomial.size",0.0813902167392987,0.23114504684374,"ACAP3","ENSG00000131584","False",688,0.23841642,0.21383348,79.8240469208211,813,6.7019606,688,"ACAP3",FALSE
"PUSL1","OK","negbinomial.size",0.00168939866129495,0.00957435284599041,"PUSL1","ENSG00000169972","False",1808,0.92785925,0.6564102,46.9794721407625,3164,8.059908,1808,"PUSL1",FALSE
"CPSF3L","OK","negbinomial.size",0.00153199719211975,0.00877236968013622,"CPSF3L","ENSG00000127054","False",1576,0.6903226,0.5249194,53.782991202346,2354,7.764296,1576,"CPSF3L",FALSE
"CPTP","OK","negbinomial.size",0.128242909923661,0.319902471322762,"CPTP","ENSG00000224051","False",1479,0.6483871,0.49979728,56.6275659824047,2211,7.7016525,1479,"CPTP",FALSE
"DVL1","OK","negbinomial.size",0.0115863322632868,0.0502742164233782,"DVL1","ENSG00000107404","False",1168,0.48592377,0.39603665,65.7478005865103,1657,7.4133673,1168,"DVL1",FALSE
"MXRA8","OK","negbinomial.size",7.63892257144785e-06,7.02182689117112e-05,"MXRA8","ENSG00000162576","False",493,0.21466276,0.19446647,85.5425219941349,732,6.5971456,493,"MXRA8",FALSE
"AURKAIP1","OK","negbinomial.size",3.13920457293032e-10,5.179180404047e-09,"AURKAIP1","ENSG00000175756","False",3362,14.314663,2.7288108,1.40762463343108,48813,10.795773,3362,"AURKAIP1",FALSE
"CCNL2","OK","negbinomial.size",0.263942774290457,0.514117028884472,"CCNL2","ENSG00000221978","False",1728,0.80293256,0.58941454,49.3255131964809,2738,7.915348,1728,"CCNL2",FALSE
"MRPL20","OK","negbinomial.size",0.000491952180426232,0.00318079242963146,"MRPL20","ENSG00000242485","False",3348,9.705865,2.3707917,1.81818181818182,33097,10.407228,3348,"MRPL20",FALSE
"RP4-758J18.13","OK","negbinomial.size",0.115558436286516,0.297152343088516,"RP4-758J18.13","ENSG00000272455","False",116,0.034604106,0.034018848,96.5982404692082,118,4.7791233,116,"RP4-758J18.13",FALSE
"ANKRD65","OK","negbinomial.size",0.506267735683479,0.744070200965718,"ANKRD65","ENSG00000235098","False",200,0.06744868,0.06527139,94.1348973607038,230,5.4424176,200,"ANKRD65",FALSE
"RP4-758J18.10","OK","negbinomial.size",0.000562296066968538,0.00359127491176748,"RP4-758J18.10","ENSG00000225285","False",4,0.0011730206,0.0011723331,99.8826979472141,4,1.609438,4,"RP4-758J18.10",FALSE
"VWA1","OK","negbinomial.size",1.48512356329525e-13,3.36293223728443e-12,"VWA1","ENSG00000179403","False",1458,0.9392962,0.66232514,57.2434017595308,3203,8.072155,1458,"VWA1",TRUE
"ATAD3C","OK","negbinomial.size",0.0596699369578941,0.185075137878087,"ATAD3C","ENSG00000215915","False",341,0.11055718,0.104861856,90,377,5.934894,341,"ATAD3C",FALSE
